ID_Proyecto,Nombre_Proyecto,Desarrollador,Tipo_Proyecto,Region_Proyecto,Fecha_Solicitud,Monto_Solicitado_MXN,Etapa_Funnel,Fecha_Etapa,Responsable,Evaluacion_Riesgo,Comentarios_Evaluacion,Tasa_Interes_Propuesta,Plazo_Meses,Publicado_Plataforma,ID_Campana,Fecha_Inicio_Campana,Meta_Campana_MXN,Monto_Fondeado_Campana_MXN,Fecha_Cierre_Campana,Estatus_Campana,Total_Inversionistas_Campana
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Solicitud Recibida,2024-01-15,Laura Martinez,,,,,,,,,,,,
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Analisis Viabilidad,2024-01-20,Laura Martinez,Bajo,"Documentacion completa, buen historial crediticio",16.5,24,,,,,,,,
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Aprobado Comite,2024-01-28,Comite Inversion,Bajo,"Proyecto viable, atractivo para inversionistas",16.5,24,Si,CAMP001,2024-02-05,7500000,7500000,2024-02-20,Fondeada Exitosamente,85
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,En Fondeo (Camp. 2),2024-02-22,Laura Martinez,Bajo,,16.5,24,Si,CAMP002,2024-02-22,7500000,7500000,2024-03-10,Fondeada Exitosamente,92
PROY001,Torres del Valle,Constructora Horizonte SA,Residencial Vertical,CDMX,2024-01-15,15000000,Fondeado Totalmente,2024-03-10,Laura Martinez,Bajo,,16.5,24,Si,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Solicitud Recibida,2024-01-20,Juan Rodriguez,,,,,,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Analisis Viabilidad,2024-01-25,Juan Rodriguez,Medio,Requiere mas informacion sobre garantias,17.0,18,,,,,,,,
PROY002,Loft Moderno GDL,Desarrollos Urbanos GDL,Mixto (Comercial/Residencial),Guadalajara,2024-01-20,8000000,Informacion Adicional Solicitada,2024-01-26,Juan Rodriguez,Medio,Pendiente respuesta del desarrollador,17.0,18,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Solicitud Recibida,2024-02-01,Sofia Hernandez,,,,,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Analisis Viabilidad,2024-02-06,Sofia Hernandez,Bajo,"Excelente track record, garantias solidas",15.0,36,,,,,,,,
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,Aprobado Comite,2024-02-15,Comite Inversion,Bajo,Alto potencial de retorno,15.0,36,Si,CAMP003,2024-02-20,10000000,10000000,2024-03-05,Fondeada Exitosamente,150
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,En Fondeo (Camp. 2),2024-03-07,Sofia Hernandez,Bajo,,15.0,36,Si,CAMP004,2024-03-07,10000000,8500000,2024-03-27,En Fondeo,120
PROY003,Residencial Bosque Real,Inmuebles del Futuro AC,Residencial Horizontal,Monterrey,2024-02-01,25000000,En Fondeo (Camp. 3),2024-03-29,Sofia Hernandez,Bajo,,15.0,36,Si,CAMP005,2024-03-29,5000000,1200000,2024-04-18,En Fondeo,35
PROY004,Plaza Comercial Sur,Grupo Constructor Delta,Comercial,Merida,2024-02-10,12000000,Solicitud Recibida,2024-02-10,Laura Martinez,,,,,,,,,,,,
